group,tile_id,cl_png,total_pixels,palette_pixels,unknown_pixels,entropy_nats_palette,count_tumor,frac_of_all_tumor,frac_of_palette_tumor,count_stroma,frac_of_all_stroma,frac_of_palette_stroma,count_immune_cells,frac_of_all_immune_cells,frac_of_palette_immune_cells,count_necrosis,frac_of_all_necrosis,frac_of_palette_necrosis,count_other,frac_of_all_other,frac_of_palette_other,count_ignore,frac_of_all_ignore,frac_of_palette_ignore
bg,JN_TS_005_bg_tile_22229_14087,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_005/JN_TS_005_tile_22229_14087_cl.png,62742241,62742241,0,1.4216808721954413,1131965,0.018041513690911996,0.018041513690911996,9452887,0.1506622468266634,0.1506622468266634,55966,0.0008919987413264375,0.0008919987413264375,15858251,0.25275238415535717,0.25275238415535717,20978199,0.3343552711163122,0.3343552711163122,15264973,0.2432965854694288,0.2432965854694288
bg,JN_TS_004_bg_tile_26418_6375,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_004/JN_TS_004_tile_26418_6375_cl.png,62742241,62742241,0,1.343797258603316,731199,0.011654014717134505,0.011654014717134505,6499747,0.10359443488797285,0.10359443488797285,371468,0.005920540836276473,0.005920540836276473,9956258,0.15868508745168985,0.15868508745168985,23804264,0.37939773302008767,0.37939773302008767,21379305,0.3407481890868386,0.3407481890868386
bg,JN_TS_003_bg_tile_25058_13037,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_003/JN_TS_003_tile_25058_13037_cl.png,62742241,62742241,0,1.2824109594856883,792845,0.01263654258061965,0.01263654258061965,6734966,0.10734340840646735,0.10734340840646735,509835,0.008125865316159173,0.008125865316159173,8448976,0.13466168669365827,0.13466168669365827,14133595,0.22526442751702158,0.22526442751702158,32122024,0.511968069486074,0.511968069486074
bg,JN_TS_003_bg_tile_24445_5502,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_003/JN_TS_003_tile_24445_5502_cl.png,62742241,62742241,0,0.7191648331675731,308841,0.004922377573348073,0.004922377573348073,1960551,0.031247704397425014,0.031247704397425014,324893,0.005178217972800812,0.005178217972800812,2730230,0.04351502204073329,0.04351502204073329,7020172,0.11188908601463565,0.11188908601463565,50397554,0.8032475920010571,0.8032475920010571
bg,JN_TS_002_bg_tile_20363_2323,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_002/JN_TS_002_tile_20363_2323_cl.png,62742241,62742241,0,1.405409395154897,1502277,0.023943629938242086,0.023943629938242086,6410969,0.10217947108392256,0.10217947108392256,1149900,0.018327365769418406,0.018327365769418406,16227348,0.25863513545842265,0.25863513545842265,10353399,0.16501481035718824,0.16501481035718824,27098348,0.4318995873928061,0.4318995873928061
bg,JN_TS_002_bg_tile_22849_5404,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_002/JN_TS_002_tile_22849_5404_cl.png,62742241,62742241,0,1.1801620774203219,1142726,0.018213024938015843,0.018213024938015843,3963168,0.06316586619849934,0.06316586619849934,1464251,0.023337562966550717,0.023337562966550717,7887190,0.1257078146124873,0.1257078146124873,9553155,0.15226034084437629,0.15226034084437629,38731751,0.6173153904400706,0.6173153904400706
bg,JN_TS_001_bg_tile_12883_7423,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_12883_7423_cl.png,62742241,62742241,0,1.2101137319327533,921351,0.014684700216557454,0.014684700216557454,4555249,0.0726025868282263,0.0726025868282263,658350,0.0104929309107719,0.0104929309107719,8291992,0.13215964026531982,0.13215964026531982,12558537,0.2001607975717667,0.2001607975717667,35756762,0.5698993442073579,0.5698993442073579
margin,JN_TS_005_margin_tile_16098_16851,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_005/JN_TS_005_tile_16098_16851_cl.png,62742241,62742241,0,1.2131308852657399,979972,0.015619014947202794,0.015619014947202794,3858152,0.06149209748501014,0.06149209748501014,168734,0.0026893205806914036,0.0026893205806914036,30023090,0.47851478559715455,0.47851478559715455,20854655,0.33238619895645743,0.33238619895645743,6857638,0.10929858243348368,0.10929858243348368
margin,JN_TS_004_margin_tile_22047_11885,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_004/JN_TS_004_tile_22047_11885_cl.png,62742241,62742241,0,1.4813640066296225,1441196,0.022970107172295615,0.022970107172295615,14751271,0.23510908703436334,0.23510908703436334,378162,0.0060272313193275966,0.0060272313193275966,13488803,0.2149875870707264,0.2149875870707264,19154593,0.30529022704177877,0.30529022704177877,13528216,0.21561576036150829,0.21561576036150829
margin,JN_TS_004_margin_tile_20770_5746,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_004/JN_TS_004_tile_20770_5746_cl.png,62742241,62742241,0,1.3984784505890437,1866136,0.029742896814922502,0.029742896814922502,9130655,0.14552644047253588,0.14552644047253588,307620,0.004902916999729098,0.004902916999729098,17692698,0.281990214535053,0.281990214535053,25622179,0.4083720726519794,0.4083720726519794,8122953,0.1294654585257801,0.1294654585257801
